Date,Open,High,Low,Close,Adj Close,Volume
2024-03-11,38667.21,38767.03,38483.25,38749.02,38749.02,172767973.0
2024-03-08,38776.8,38971.15,38705.03,38722.69,38722.69,342030000.0
2024-03-07,38784.3,38910.35,38730.13,38791.35,38791.35,335580000.0
2024-03-06,38721.15,38858.13,38570.8,38661.05,38661.05,347900000.0
2024-03-05,38906.98,38906.98,38457.83,38585.19,38585.19,393750000.0
2024-03-04,38968.77,39087.86,38913.3,38989.83,38989.83,386290000.0
2024-03-01,38989.51,39120.36,38850.5,39087.38,39087.38,331030000.0
2024-02-29,39013.75,39074.13,38809.28,38996.39,38996.39,519690000.0
2024-02-28,38938.08,38956.46,38741.68,38949.02,38949.02,272560000.0
2024-02-27,39087.9,39087.9,38881.9,38972.41,38972.41,272860000.0
2024-02-26,39144.79,39245.89,39025.8,39069.23,39069.23,296930000.0
2024-02-23,39127.97,39282.28,39094.36,39131.53,39131.53,286910000.0
2024-02-22,38845.19,39149.61,38802.07,39069.11,39069.11,324630000.0
2024-02-21,38483.66,38618.03,38338.58,38612.24,38612.24,279510000.0
2024-02-20,38576.26,38663.09,38460.2,38563.8,38563.8,335990000.0
2024-02-16,38751.71,38825.03,38583.24,38627.99,38627.99,282210000.0
2024-02-15,38397.94,38781.89,38397.94,38773.12,38773.12,303840000.0
2024-02-14,38372.67,38442.56,38194.62,38424.27,38424.27,274610000.0
2024-02-13,38699.17,38699.17,38039.86,38272.75,38272.75,318390000.0
2024-02-12,38656.76,38927.08,38628.92,38797.38,38797.38,273020000.0
2024-02-09,38731.97,38734.28,38567.9,38671.69,38671.69,299970000.0
2024-02-08,38702.11,38755.68,38544.36,38726.33,38726.33,315510000.0
2024-02-07,38613.89,38748.11,38571.01,38677.36,38677.36,302210000.0
2024-02-06,38392.9,38545.28,38350.46,38521.36,38521.36,276140000.0
2024-02-05,38546.77,38633.88,38220.4,38380.12,38380.12,322290000.0
